review_id,product_name,review_text,rating,verified_purchase,review_date,fake_review
1,Mechanical Keyboard,Best purchase ever,5,True,2024-06-15,0
2,Wireless Earbuds,Happy with purchase,4,False,2026-02-07,1
3,Mechanical Keyboard,Not as expected,2,True,2025-03-31,0
4,Phone Charger,Waste of money,1,True,2026-01-21,0
5,Bluetooth Speaker,Average product,2,False,2025-10-01,1
6,Smart Watch,Works okay,3,False,2024-06-19,0
7,Portable SSD,Works okay,3,False,2024-05-24,1
8,Wireless Earbuds,Amazing quality,5,False,2024-06-12,0
9,Laptop Stand,Excellent product,5,False,2026-05-07,0
10,Laptop Stand,Happy with purchase,4,False,2026-03-10,0
11,Fitness Band,Decent product,3,True,2024-10-12,0
12,Mechanical Keyboard,Good quality,4,True,2025-10-07,0
13,USB Cable,Poor packaging,2,False,2024-08-21,1
14,Wireless Earbuds,Works okay,3,False,2025-03-15,0
15,Laptop Stand,Terrible quality,1,True,2025-05-30,1
16,Gaming Mouse,Waste of money,1,False,2025-09-01,1
17,Mechanical Keyboard,Terrible quality,1,False,2025-08-18,1
18,Gaming Mouse,Not as expected,2,False,2025-01-27,1
19,Smart Watch,Stopped working quickly,1,True,2025-05-27,0
20,Gaming Mouse,Highly recommend,5,False,2025-12-04,1
21,Phone Charger,Average product,2,True,2026-01-18,0
22,Bluetooth Speaker,Best purchase ever,5,False,2026-04-17,0
23,Laptop Stand,Excellent product,5,True,2025-07-10,1
24,Laptop Stand,Not as expected,2,True,2026-04-13,0
25,Laptop Stand,Best purchase ever,5,False,2025-02-07,0
26,Portable SSD,Terrible quality,1,False,2025-07-09,0
27,USB Cable,Could be better,2,True,2025-01-07,1
28,Wireless Earbuds,Decent product,3,False,2025-11-27,1
29,Fitness Band,Excellent product,5,False,2025-08-19,0
30,Gaming Mouse,Waste of money,1,True,2024-07-16,1
31,Mechanical Keyboard,Best purchase ever,5,False,2024-07-02,1
32,USB Cable,Very disappointed,1,True,2024-07-19,0
33,USB Cable,Highly recommend,5,True,2025-11-12,1
34,Smart Watch,Excellent product,5,True,2025-08-09,0
35,Fitness Band,Excellent product,5,False,2024-08-01,0
36,Gaming Mouse,Good quality,4,False,2024-11-17,1
37,Wireless Earbuds,Good quality,4,False,2025-01-29,1
38,USB Cable,Amazing quality,5,False,2025-06-24,0
39,Phone Charger,Good quality,4,True,2026-01-27,1
40,Wireless Earbuds,Waste of money,1,False,2025-04-19,1
41,Mechanical Keyboard,Could be better,2,False,2025-05-14,1
42,Smart Watch,Works okay,3,False,2025-02-20,0
43,Portable SSD,Works okay,3,False,2026-01-26,1
44,Phone Charger,Highly recommend,5,True,2024-08-16,1
45,Mechanical Keyboard,Highly recommend,5,False,2024-12-28,0
46,Laptop Stand,Excellent product,5,False,2025-01-28,0
47,Laptop Stand,Stopped working quickly,1,False,2025-09-04,0
48,Fitness Band,Average experience,3,True,2024-07-30,1
49,Smart Watch,Stopped working quickly,1,False,2024-07-30,1
50,Laptop Stand,Waste of money,1,True,2025-03-28,0
51,Laptop Stand,Recommended,4,False,2026-03-13,1
52,Wireless Earbuds,Not as expected,2,True,2026-05-02,1
53,Fitness Band,Highly recommend,5,True,2025-06-07,1
54,Mechanical Keyboard,Happy with purchase,4,True,2024-08-20,1
55,Laptop Stand,Decent product,3,False,2024-06-18,1
56,Bluetooth Speaker,Recommended,4,True,2025-02-21,1
57,Wireless Earbuds,Average experience,3,False,2024-06-30,1
58,Wireless Earbuds,Best purchase ever,5,False,2024-08-29,1
59,Phone Charger,Works okay,3,True,2024-10-19,1
60,Bluetooth Speaker,Poor packaging,2,True,2025-03-11,0
61,Smart Watch,Recommended,4,True,2025-06-05,0
62,Portable SSD,Very disappointed,1,True,2025-12-24,1
63,Wireless Earbuds,Very disappointed,1,True,2025-01-25,1
64,USB Cable,Very disappointed,1,True,2024-10-18,0
65,USB Cable,Waste of money,1,True,2025-07-05,0
66,Mechanical Keyboard,Not as expected,2,False,2024-12-20,0
67,Laptop Stand,Works okay,3,False,2024-07-15,1
68,Portable SSD,Not as expected,2,True,2025-10-20,1
69,Portable SSD,Waste of money,1,True,2026-03-05,0
70,Smart Watch,Amazing quality,5,True,2024-09-01,0
71,Portable SSD,Highly recommend,5,True,2024-05-30,1
72,Mechanical Keyboard,Recommended,4,False,2025-03-30,1
73,Mechanical Keyboard,Average product,2,False,2024-06-01,1
74,Mechanical Keyboard,Works okay,3,True,2025-07-14,0
75,Smart Watch,Recommended,4,False,2024-09-28,1
76,Phone Charger,Worth the price,4,False,2024-07-13,0
77,Smart Watch,Could be better,2,True,2025-02-26,1
78,Fitness Band,Happy with purchase,4,True,2025-04-17,0
79,Gaming Mouse,Recommended,4,False,2024-08-16,0
80,Laptop Stand,Decent product,3,True,2026-04-26,1
81,Portable SSD,Waste of money,1,True,2024-11-25,0
82,USB Cable,Amazing quality,5,True,2025-06-03,1
83,Gaming Mouse,Stopped working quickly,1,True,2025-05-02,0
84,Smart Watch,Very disappointed,1,True,2025-09-20,1
85,Wireless Earbuds,Stopped working quickly,1,False,2025-08-04,0
86,USB Cable,Very disappointed,1,False,2026-01-31,1
87,Fitness Band,Highly recommend,5,True,2024-11-29,0
88,Gaming Mouse,Worth the price,4,True,2024-11-02,0
89,Mechanical Keyboard,Could be better,2,False,2025-11-26,1
90,Phone Charger,Excellent product,5,True,2024-10-24,0
91,Mechanical Keyboard,Decent product,3,True,2025-12-23,1
92,Smart Watch,Terrible quality,1,False,2025-11-19,0
93,Laptop Stand,Amazing quality,5,True,2025-09-19,1
94,Fitness Band,Not as expected,2,True,2025-08-28,1
95,Fitness Band,Works okay,3,False,2025-07-02,1
96,Wireless Earbuds,Recommended,4,False,2024-11-02,1
97,Gaming Mouse,Worth the price,4,False,2026-01-28,1
98,Bluetooth Speaker,Average experience,3,False,2025-12-26,1
99,Gaming Mouse,Very disappointed,1,False,2025-09-23,0
100,Smart Watch,Stopped working quickly,1,False,2025-12-10,0
101,Fitness Band,Terrible quality,1,True,2025-03-17,1
102,Mechanical Keyboard,Could be better,2,True,2025-06-16,0
103,Portable SSD,Happy with purchase,4,False,2024-12-14,0
104,USB Cable,Very disappointed,1,False,2026-04-11,1
105,Smart Watch,Best purchase ever,5,True,2025-10-31,0
106,Laptop Stand,Satisfied overall,3,False,2026-03-26,0
107,Portable SSD,Amazing quality,5,False,2024-09-28,1
108,Gaming Mouse,Not as expected,2,False,2025-06-21,1
109,USB Cable,Satisfied overall,3,True,2025-04-27,1
110,Laptop Stand,Worth the price,4,False,2025-01-05,1
111,Portable SSD,Stopped working quickly,1,False,2024-05-14,1
112,Laptop Stand,Average product,2,True,2026-02-13,1
113,Wireless Earbuds,Satisfied overall,3,True,2025-10-20,0
114,USB Cable,Not as expected,2,True,2024-05-12,0
115,USB Cable,Decent product,3,False,2025-04-22,1
116,Fitness Band,Amazing quality,5,True,2024-06-18,0
117,Smart Watch,Satisfied overall,3,True,2026-01-01,1
118,Gaming Mouse,Very disappointed,1,False,2026-03-06,0
119,Phone Charger,Excellent product,5,True,2025-02-21,1
120,Mechanical Keyboard,Terrible quality,1,False,2025-07-03,1
121,Portable SSD,Best purchase ever,5,False,2024-12-21,1
122,Fitness Band,Highly recommend,5,False,2024-09-11,1
123,Portable SSD,Good quality,4,True,2025-01-12,0
124,Wireless Earbuds,Very disappointed,1,True,2025-11-24,0
125,Wireless Earbuds,Highly recommend,5,False,2024-11-18,0
126,Fitness Band,Recommended,4,True,2025-08-23,0
127,Mechanical Keyboard,Poor packaging,2,False,2025-01-28,1
128,Phone Charger,Satisfied overall,3,True,2025-03-08,0
129,Bluetooth Speaker,Terrible quality,1,False,2024-10-22,0
130,Wireless Earbuds,Not as expected,2,True,2024-08-13,0
131,Mechanical Keyboard,Terrible quality,1,True,2024-11-17,1
132,Phone Charger,Stopped working quickly,1,False,2025-01-06,1
133,Laptop Stand,Highly recommend,5,True,2024-11-08,1
134,Smart Watch,Highly recommend,5,False,2025-10-24,1
135,Fitness Band,Amazing quality,5,False,2026-01-30,1
136,Gaming Mouse,Stopped working quickly,1,False,2024-08-15,1
137,Bluetooth Speaker,Amazing quality,5,True,2026-03-08,0
138,Phone Charger,Average product,2,True,2026-04-08,0
139,Phone Charger,Poor packaging,2,True,2024-12-07,0
140,Gaming Mouse,Satisfied overall,3,False,2025-09-15,1
141,Wireless Earbuds,Waste of money,1,True,2025-09-28,1
142,Smart Watch,Very disappointed,1,True,2025-02-22,0
143,Wireless Earbuds,Satisfied overall,3,True,2025-08-12,0
144,USB Cable,Worth the price,4,False,2025-01-03,1
145,USB Cable,Average experience,3,True,2024-10-27,0
146,Fitness Band,Worth the price,4,True,2024-07-11,1
147,Gaming Mouse,Worth the price,4,True,2025-11-03,0
148,USB Cable,Best purchase ever,5,True,2025-05-16,1
149,Laptop Stand,Could be better,2,True,2024-09-19,1
150,Wireless Earbuds,Average product,2,True,2025-04-24,0
151,Portable SSD,Poor packaging,2,True,2025-12-25,0
152,Laptop Stand,Amazing quality,5,True,2025-06-10,1
153,Phone Charger,Worth the price,4,False,2025-02-02,0
154,Wireless Earbuds,Works okay,3,True,2026-01-10,0
155,USB Cable,Decent product,3,False,2024-06-17,1
156,Bluetooth Speaker,Happy with purchase,4,False,2024-12-11,0
157,Phone Charger,Works okay,3,True,2024-11-18,1
158,Wireless Earbuds,Terrible quality,1,False,2025-01-19,1
159,Laptop Stand,Worth the price,4,True,2024-09-03,0
